x,y,z
-13.50192981,-14.3238961,-1.78754772
-13.50192981,-9.24218956,-0.986506565
-13.50192981,-7.709976195,-1.794580136
-13.50192981,-4.267733181,0.097827763
-13.50192981,-0.870715612,-1.569721199
-13.50192981,2.073527221,0.071339018
-13.50192981,5.830034444,-1.242731568
-13.50192981,8.806228549,-0.225077066
-13.50192981,9.747969439,-1.12252543
-13.50192981,12.05326451,-1.295816734
-11.6822602,-14.3238961,-0.209265392
-11.6822602,-9.24218956,0.591775764
-11.6822602,-7.709976195,-0.216297807
-11.6822602,-4.267733181,1.676110092
-11.6822602,-0.870715612,0.008561129
-11.6822602,2.073527221,1.649621346
-11.6822602,5.830034444,0.33555076
-11.6822602,8.806228549,1.353205263
-11.6822602,9.747969439,0.455756899
-11.6822602,12.05326451,0.282465594
-8.8275467,-14.3238961,-1.544971881
-8.8275467,-9.24218956,-0.743930726
-8.8275467,-7.709976195,-1.552004296
-8.8275467,-4.267733181,0.340403603
-8.8275467,-0.870715612,-1.32714536
-8.8275467,2.073527221,0.313914857
-8.8275467,5.830034444,-1.000155729
-8.8275467,8.806228549,0.017498773
-8.8275467,9.747969439,-0.879949591
-8.8275467,12.05326451,-1.053240895
-4.761069808,-14.3238961,0.016198615
-4.761069808,-9.24218956,0.81723977
-4.761069808,-7.709976195,0.009166199
-4.761069808,-4.267733181,1.901574098
-4.761069808,-0.870715612,0.234025136
-4.761069808,2.073527221,1.875085353
-4.761069808,5.830034444,0.561014767
-4.761069808,8.806228549,1.578669269
-4.761069808,9.747969439,0.681220905
-4.761069808,12.05326451,0.507929601
-1.942396797,-14.3238961,-1.914364105
-1.942396797,-9.24218956,-1.113322949
-1.942396797,-7.709976195,-1.92139652
-1.942396797,-4.267733181,-0.028988621
-1.942396797,-0.870715612,-1.696537584
-1.942396797,2.073527221,-0.055477366
-1.942396797,5.830034444,-1.369547952
-1.942396797,8.806228549,-0.35189345
-1.942396797,9.747969439,-1.249341814
-1.942396797,12.05326451,-1.422633119
1.065301267,-14.3238961,-0.107681854
1.065301267,-9.24218956,0.693359301
1.065301267,-7.709976195,-0.11471427
1.065301267,-4.267733181,1.777693629
1.065301267,-0.870715612,0.110144667
1.065301267,2.073527221,1.751204884
1.065301267,5.830034444,0.437134298
1.065301267,8.806228549,1.4547888
1.065301267,9.747969439,0.557340436
1.065301267,12.05326451,0.384049132
4.55340423,-14.3238961,-1.97000523
4.55340423,-9.24218956,-1.168964075
4.55340423,-7.709976195,-1.977037645
4.55340423,-4.267733181,-0.084629746
4.55340423,-0.870715612,-1.752178709
4.55340423,2.073527221,-0.111118492
4.55340423,5.830034444,-1.425189078
4.55340423,8.806228549,-0.407534576
4.55340423,9.747969439,-1.30498294
4.55340423,12.05326451,-1.478274244
8.951162649,-14.3238961,-0.526510092
8.951162649,-9.24218956,0.274531064
8.951162649,-7.709976195,-0.533542507
8.951162649,-4.267733181,1.358865392
8.951162649,-0.870715612,-0.308683571
8.951162649,2.073527221,1.332376646
8.951162649,5.830034444,0.018306061
8.951162649,8.806228549,1.035960563
8.951162649,9.747969439,0.138512199
8.951162649,12.05326451,-0.034779106
10.33132215,-14.3238961,-1.769994749
10.33132215,-9.24218956,-0.968953594
10.33132215,-7.709976195,-1.777027165
10.33132215,-4.267733181,0.115380734
10.33132215,-0.870715612,-1.552168228
10.33132215,2.073527221,0.088891989
10.33132215,5.830034444,-1.225178597
10.33132215,8.806228549,-0.207524095
10.33132215,9.747969439,-1.104972459
10.33132215,12.05326451,-1.278263763
14.92638211,-14.3238961,-0.278214102
14.92638211,-9.24218956,0.522827053
14.92638211,-7.709976195,-0.285246517
14.92638211,-4.267733181,1.607161382
14.92638211,-0.870715612,-0.060387581
14.92638211,2.073527221,1.580672636
14.92638211,5.830034444,0.26660205
14.92638211,8.806228549,1.284256553
14.92638211,9.747969439,0.386808188
14.92638211,12.05326451,0.213516884
